Row,Error,Row Data
41,Invalid date format for CREATE DATE at row 41: 22-07-2025 21:46:52,"{'Unnamed: 0': nan, 'No': 40, 'CREATE DATE': '22-07-2025 21:46:52', 'USERNAME': 'sandiaga12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:48:50', 'PROCESS BY': 'xpukul69', 'AMOUNT': '14.00'}"
42,Invalid date format for CREATE DATE at row 42: 22-07-2025 21:38:04,"{'Unnamed: 0': nan, 'No': 41, 'CREATE DATE': '22-07-2025 21:38:04', 'USERNAME': 'pukki69', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:38:38', 'PROCESS BY': 'xpukul69', 'AMOUNT': '100.00'}"
43,Invalid date format for CREATE DATE at row 43: 22-07-2025 21:35:45,"{'Unnamed: 0': nan, 'No': 42, 'CREATE DATE': '22-07-2025 21:35:45', 'USERNAME': 'litot99', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:37:05', 'PROCESS BY': 'xpukul69', 'AMOUNT': '19.00'}"
44,Invalid date format for CREATE DATE at row 44: 22-07-2025 21:32:32,"{'Unnamed: 0': nan, 'No': 43, 'CREATE DATE': '22-07-2025 21:32:32', 'USERNAME': 'zulpa123', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:33:54', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '50.00'}"
45,Invalid date format for CREATE DATE at row 45: 22-07-2025 21:32:17,"{'Unnamed: 0': nan, 'No': 44, 'CREATE DATE': '22-07-2025 21:32:17', 'USERNAME': 'baimkoteh', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:33:49', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '20.00'}"
46,Invalid date format for CREATE DATE at row 46: 22-07-2025 21:31:51,"{'Unnamed: 0': nan, 'No': 45, 'CREATE DATE': '22-07-2025 21:31:51', 'USERNAME': 'andrekeras14', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:32:35', 'PROCESS BY': 'xpukul69', 'AMOUNT': '99.00'}"
47,Invalid date format for CREATE DATE at row 47: 22-07-2025 21:30:49,"{'Unnamed: 0': nan, 'No': 46, 'CREATE DATE': '22-07-2025 21:30:49', 'USERNAME': 'zorojuro', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:31:55', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '35.00'}"
48,Invalid date format for CREATE DATE at row 48: 22-07-2025 21:24:44,"{'Unnamed: 0': nan, 'No': 47, 'CREATE DATE': '22-07-2025 21:24:44', 'USERNAME': 'litot99', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:25:26', 'PROCESS BY': 'xpukul69', 'AMOUNT': '15.00'}"
49,Invalid date format for CREATE DATE at row 49: 22-07-2025 21:22:35,"{'Unnamed: 0': nan, 'No': 48, 'CREATE DATE': '22-07-2025 21:22:35', 'USERNAME': 'sss12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:23:16', 'PROCESS BY': 'xpukul69', 'AMOUNT': '46.00'}"
50,Invalid date format for CREATE DATE at row 50: 22-07-2025 21:22:19,"{'Unnamed: 0': nan, 'No': 49, 'CREATE DATE': '22-07-2025 21:22:19', 'USERNAME': 'baimkoteh', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:23:16', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '100.00'}"
51,Invalid date format for CREATE DATE at row 51: 22-07-2025 21:11:50,"{'Unnamed: 0': nan, 'No': 50, 'CREATE DATE': '22-07-2025 21:11:50', 'USERNAME': 'iis1234', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:12:17', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '24.00'}"
52,Invalid date format for CREATE DATE at row 52: 22-07-2025 21:07:45,"{'Unnamed: 0': nan, 'No': 51, 'CREATE DATE': '22-07-2025 21:07:45', 'USERNAME': 'bulux1990', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:08:30', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
53,Invalid date format for CREATE DATE at row 53: 22-07-2025 20:58:27,"{'Unnamed: 0': nan, 'No': 52, 'CREATE DATE': '22-07-2025 20:58:27', 'USERNAME': 'lentera', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:59:15', 'PROCESS BY': 'xpukul69', 'AMOUNT': '96.00'}"
54,Invalid date format for CREATE DATE at row 54: 22-07-2025 20:57:37,"{'Unnamed: 0': nan, 'No': 53, 'CREATE DATE': '22-07-2025 20:57:37', 'USERNAME': 'bulux1990', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:58:30', 'PROCESS BY': 'xpukul69', 'AMOUNT': '40.00'}"
55,Invalid date format for CREATE DATE at row 55: 22-07-2025 20:52:23,"{'Unnamed: 0': nan, 'No': 54, 'CREATE DATE': '22-07-2025 20:52:23', 'USERNAME': 'ablaham', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:53:22', 'PROCESS BY': 'xpukul69', 'AMOUNT': '25.00'}"
